bc,sample,Celltype,Phase
16166,AZD,LMPP,G2M
798102,NTC,LMPP,S
506340,NTC,LMPP,S
581931,NTC,LMPP,S
366246,G13,LMPP,S
618264,NTC,LMPP,S
193552,NTC,LMPP,G2M
613470,NTC,LMPP,G2M
574932,NTC,LMPP,S
379921,AZD,LMPP,S
513607,G13,MEP1,G2M
528613,NTC,LMPP,G2M
811659,AZD,LMPP,G2M
583183,AZD,MEP1,G2M
357789,AZD,LMPP,G2M
8299,AZD,LMPP,G2M
408441,G13,LMPP,G2M
102783,AZD,LMPP,G2M
143886,G13,LMPP,S
274000,G13,LMPP,S
537983,AZD,LMPP,S
844696,G13,LMPP,G2M
146196,NTC,LMPP,S
58848,AZD,LMPP,S
608901,NTC,LMPP,S
210680,G13,MEP1,G2M
82780,NTC,LMPP,S
283683,G13,LMPP,S
617139,NTC,LMPP,S
732613,AZD,LMPP,S
661335,NTC,CMP,S
584816,NTC,LMPP,G2M
17030,G13,LMPP,G2M
72806,NTC,LMPP,G2M
657567,AZD,LMPP,S
786863,AZD,CMP,G2M
255896,NTC,LMPP,G2M
507054,NTC,LMPP,G2M
611165,NTC,LMPP,S
84585,G13,LMPP,G2M
457574,NTC,LMPP,S
425218,NTC,LMPP,G2M
505766,NTC,MEP1,S
548481,NTC,LMPP,S
307094,NTC,LMPP,S
501796,AZD,LMPP,G2M
527276,G13,LMPP,S
85317,NTC,MEP1,G1
610505,G13,LMPP,G2M
567044,G13,LMPP,G2M
504653,NTC,LMPP,S
70938,G13,LMPP,G2M
224702,AZD,MEP1,S
581029,G13,LMPP,S
544675,NTC,LMPP,S
612364,G13,LMPP,S
813929,AZD,LMPP,S
544133,G13,LMPP,G1
2757,AZD,MEP1,S
353211,G13,LMPP,S
75465,G13,LMPP,S
91073,NTC,LMPP,G2M
542123,NTC,LMPP,G2M
611081,NTC,LMPP,G2M
478278,NTC,LMPP,S
457539,NTC,LMPP,S
504446,G13,LMPP,S
77564,G13,LMPP,S
535284,AZD,LMPP,G2M
141076,G13,MEP1,S
252747,AZD,LMPP,S
634484,NTC,LMPP,G2M
838760,G13,LMPP,G2M
105926,G13,LMPP,G2M
477232,G13,LMPP,S
617931,AZD,MEP1,G2M
498276,NTC,LMPP,G2M
583701,G13,MEP1,S
652634,AZD,MEP1,S
102201,NTC,LMPP,S
747717,AZD,LMPP,G2M
702345,G13,MEP1,S
627962,G13,LMPP,G2M
479190,G13,LMPP,G2M
823,G13,LMPP,G2M
85772,NTC,LMPP,G2M
107605,NTC,LMPP,G2M
210136,NTC,LMPP,G2M
15319,AZD,MEP1,G1
232939,AZD,MEP1,S
142259,NTC,LMPP,G2M
102230,G13,MEP1,S
463128,AZD,LMPP,G2M
498769,G13,MEP1,G2M
262474,AZD,LMPP,G2M
401977,NTC,LMPP,G2M
857203,AZD,LMPP,G2M
659831,NTC,LMPP,G2M
792133,NTC,LMPP,S
769041,NTC,LMPP,G2M
213112,G13,LMPP,G2M
588687,NTC,LMPP,G2M
224619,G13,LMPP,S
314620,NTC,LMPP,G2M
586040,AZD,LMPP,S
677495,NTC,LMPP,S
663252,AZD,LMPP,S
610924,G13,LMPP,S
586608,G13,LMPP,G2M
608330,NTC,LMPP,G2M
145005,NTC,LMPP,G2M
825653,G13,LMPP,G2M
500168,AZD,LMPP,G2M
546602,AZD,LMPP,G2M
86505,G13,LMPP,G2M
78281,G13,CMP,G2M
405823,G13,LMPP,G2M
461851,AZD,MEP1,S
615128,G13,LMPP,S
598897,G13,LMPP,G2M
476237,NTC,LMPP,G1
474732,AZD,LMPP,G2M
628764,NTC,LMPP,S
77845,G13,LMPP,S
592324,NTC,LMPP,G2M
696597,AZD,LMPP,S
845694,G13,LMPP,G1
73473,AZD,CMP,G2M
589986,AZD,LMPP,S
329442,NTC,LMPP,S
365281,NTC,LMPP,G2M
584136,NTC,LMPP,S
620469,G13,LMPP,G2M
654138,AZD,LMPP,G1
78407,AZD,LMPP,S
500468,G13,LMPP,S
84443,G13,LMPP,S
454883,AZD,LMPP,G2M
208064,G13,LMPP,G2M
692442,NTC,LMPP,G2M
355190,AZD,LMPP,S
646255,AZD,LMPP,S
542927,AZD,LMPP,S
584955,G13,LMPP,S
596360,NTC,LMPP,G2M
208730,AZD,LMPP,G2M
457885,NTC,LMPP,S
536194,G13,LMPP,S
82290,G13,LMPP,G1
71856,NTC,LMPP,S
622651,G13,LMPP,G2M
463684,AZD,LMPP,G2M
754849,G13,LMPP,G2M
86187,NTC,MEP1,G2M
79450,G13,MEP1,S
351802,AZD,MEP1,G2M
299407,AZD,LMPP,G2M
433086,AZD,LMPP,S
353969,AZD,LMPP,G2M
200215,NTC,LMPP,G1
105386,NTC,LMPP,S
586523,G13,LMPP,G2M
627920,G13,LMPP,G2M
435896,NTC,LMPP,G2M
844664,G13,LMPP,G2M
200381,G13,LMPP,G2M
159627,NTC,LMPP,S
239578,NTC,LMPP,G2M
440481,G13,LMPP,G2M
447908,NTC,LMPP,G2M
501908,AZD,LMPP,G2M
500257,G13,LMPP,S
31466,AZD,LMPP,G2M
55330,NTC,LMPP,G2M
347555,AZD,MEP1,S
76157,G13,MEP1,S
139460,G13,LMPP,S
544541,G13,LMPP,G2M
456966,NTC,LMPP,S
579183,NTC,CMP,G2M
97665,G13,LMPP,G2M
156811,G13,LMPP,G2M
675838,G13,LMPP,G2M
324890,NTC,LMPP,S
550553,NTC,LMPP,S
356540,NTC,LMPP,S
