,Cells.all_samples.data.
708,69_20_89
709,69_20_96
710,69_21_03
711,69_21_04
712,69_21_22
713,69_21_24
714,69_21_50
715,69_21_58
716,69_21_61
717,69_21_65
718,69_21_70
719,69_21_78
720,69_21_80
721,69_21_87
722,69_21_93
723,69_22_15
724,69_22_40
725,69_22_49
726,69_22_53
727,69_22_57
728,69_22_69
729,69_22_79
730,69_23_11
731,69_23_13
732,69_23_14
733,69_23_19
734,69_23_20
735,69_23_22
736,69_23_24
737,69_23_31
738,69_23_45
739,69_23_56
740,69_23_58
741,69_23_60
742,69_23_67
743,69_23_70
744,69_23_78
745,69_23_81
746,69_23_86
747,69_23_88
748,69_23_93
749,69_24_25
750,69_24_42
751,69_24_47
752,69_24_49
753,69_24_50
754,69_24_53
755,69_24_68
756,69_24_70
757,69_24_72
758,69_24_81
759,69_24_83
760,69_24_93
761,69_25_04
762,69_25_10
763,69_25_20
764,69_25_34
765,69_25_36
766,69_25_43
767,69_25_50
768,69_25_71
769,69_25_81
770,69_25_90
771,69_26_12
772,69_26_30
773,69_26_40
774,69_26_46
775,69_26_52
776,69_26_73
777,69_26_84
778,69_26_90
779,69_27_07
780,69_27_08
781,69_27_19
782,69_27_31
783,69_27_57
784,69_27_79
785,69_28_06
786,69_28_09
787,69_28_11
788,69_28_15
789,69_28_22
790,69_28_29
791,69_28_30
792,69_28_31
793,69_28_35
794,69_28_41
795,69_28_51
796,69_28_66
797,69_28_67
798,69_28_68
799,69_28_70
800,69_28_78
801,69_28_90
802,69_28_94
803,69_28_95
804,69_29_08
805,69_29_10
806,69_29_37
807,69_29_49
808,69_29_53
809,69_29_57
810,69_29_61
811,69_29_62
812,69_29_68
813,69_29_83
814,69_29_93
815,69_30_06
816,69_30_07
817,69_30_18
818,69_30_26
819,69_30_28
820,69_30_58
821,69_30_75
822,69_30_76
823,69_31_01
824,69_31_07
825,69_31_14
826,69_31_29
827,69_31_39
828,69_31_41
829,69_31_43
830,69_31_55
831,69_31_58
832,69_31_87
833,69_32_09
834,69_32_12
835,69_32_15
836,69_32_32
837,69_32_44
838,69_32_56
839,69_32_63
840,69_32_65
841,69_32_73
842,69_32_77
843,69_32_78
844,69_32_86
845,69_32_96
846,69_33_01
847,69_33_20
848,69_33_30
849,69_33_35
850,69_33_53
851,69_33_55
852,69_33_56
853,69_33_61
854,69_33_65
855,69_33_74
856,69_33_79
857,69_33_91
858,69_34_14
859,69_34_25
860,69_34_31
861,69_34_39
862,69_34_40
863,69_34_42
864,69_34_51
865,69_34_64
866,69_34_67
867,69_34_68
868,69_34_81
869,69_34_94
870,69_35_04
871,69_35_19
872,69_35_32
873,69_35_45
874,69_35_55
875,69_35_75
876,69_35_91
877,69_36_08
878,69_36_12
879,69_36_13
880,69_36_32
881,69_36_39
882,69_36_47
883,69_36_53
884,69_36_55
885,69_36_77
886,69_36_80
887,69_36_92
888,69_37_01
889,69_37_08
890,69_37_09
891,69_37_16
892,69_37_18
893,69_37_47
894,69_37_58
895,69_37_64
896,69_37_67
897,69_37_68
898,69_37_72
899,69_37_81
900,69_37_94
901,69_38_02
902,69_38_12
903,69_38_23
904,69_38_27
905,69_38_31
906,69_38_34
907,69_38_46
908,69_38_53
909,69_38_56
910,69_38_64
911,69_38_65
912,69_38_66
913,69_38_74
914,69_38_94
915,69_38_96
916,69_39_01
917,69_39_40
918,69_39_43
919,69_39_57
920,69_39_63
921,69_39_71
922,69_39_72
923,69_39_73
924,69_39_82
925,69_39_90
926,69_39_92
927,69_40_04
928,69_40_11
929,69_40_28
930,69_40_43
931,69_40_63
932,69_40_65
933,69_40_67
934,69_40_78
935,69_40_88
936,69_40_89
937,69_40_90
938,69_41_19
939,69_41_38
940,69_41_49
941,69_41_64
942,69_41_67
943,69_41_84
944,69_42_03
945,69_42_47
946,69_42_62
947,69_42_65
948,69_42_68
949,69_42_93
950,69_43_10
951,69_43_15
952,69_43_39
953,69_43_40
954,69_43_63
955,69_44_03
956,69_44_04
957,69_44_10
958,69_44_17
959,69_44_19
960,69_44_47
961,69_44_50
962,69_44_53
963,69_44_62
964,69_44_72
965,69_44_75
966,69_44_80
967,69_44_89
968,69_44_92
969,69_45_04
970,69_45_12
971,69_45_17
972,69_45_47
973,69_45_50
974,69_45_63
975,69_45_70
976,69_45_87
977,69_45_92
978,69_45_95
979,69_46_29
980,69_46_35
981,69_46_37
982,69_46_45
983,69_46_58
984,69_46_59
985,69_46_61
986,69_46_64
987,69_46_65
988,69_46_78
989,69_47_01
990,69_47_18
991,69_47_22
992,69_47_24
993,69_47_74
994,69_47_78
995,69_47_82
