,Cells.all_samples.data.
36387,65_61_12
36388,65_61_14
36389,65_61_20
36390,65_61_38
36391,65_61_54
36392,65_61_75
36393,65_61_78
36394,65_61_93
36395,65_62_05
36396,65_62_09
36397,65_62_11
36398,65_62_13
36399,65_62_14
36400,65_62_21
36401,65_62_37
36402,65_62_50
36403,65_62_83
36404,65_62_87
36405,65_62_93
36406,65_62_95
36407,65_63_01
36408,65_63_09
36409,65_63_23
36410,65_63_36
36411,65_63_47
36412,65_63_53
36413,65_63_59
36414,65_63_63
36415,65_63_78
36416,65_63_80
36417,65_63_82
36418,65_64_07
36419,65_64_08
36420,65_64_34
36421,65_64_65
36422,65_64_76
36423,65_64_93
36424,65_64_94
36425,65_64_96
36426,65_65_11
36427,65_65_28
36428,65_65_30
36429,65_65_37
36430,65_65_38
36431,65_65_53
36432,65_65_78
36433,65_65_96
36434,65_66_04
36435,65_66_07
36436,65_66_15
36437,65_66_22
36438,65_66_45
36439,65_66_52
36440,65_66_61
36441,65_66_75
36442,65_66_92
36443,65_67_19
36444,65_67_33
36445,65_67_44
36446,65_67_53
36447,65_67_63
36448,65_67_65
36449,65_67_66
36450,65_67_70
36451,65_67_95
36452,65_67_96
36453,65_68_01
36454,65_68_20
36455,65_68_42
36456,65_68_43
36457,65_68_45
36458,65_68_59
36459,65_68_61
36460,65_68_81
36461,65_68_84
36462,65_68_87
36463,65_68_92
36464,65_68_93
36465,65_69_11
36466,65_69_17
36467,65_69_19
36468,65_69_20
36469,65_69_32
36470,65_69_36
36471,65_69_43
36472,65_69_45
36473,65_69_48
36474,65_69_59
36475,65_69_69
36476,65_69_77
36477,65_69_88
36478,65_69_93
36479,65_69_94
36480,65_70_03
36481,65_70_22
36482,65_70_28
36483,65_70_31
36484,65_70_33
36485,65_70_34
36486,65_70_65
36487,65_70_81
36488,65_70_82
36489,65_70_84
36490,65_70_86
36491,65_70_92
36492,65_71_05
36493,65_71_07
36494,65_71_21
36495,65_71_75
36496,65_71_76
36497,65_71_79
36498,65_71_80
36499,65_71_87
36500,65_72_04
36501,65_72_14
36502,65_72_21
36503,65_72_28
36504,65_72_34
36505,65_72_39
36506,65_72_48
36507,65_72_52
36508,65_72_74
36509,65_72_79
36510,65_72_85
36511,65_72_86
36512,65_73_01
36513,65_73_05
36514,65_73_08
36515,65_73_35
36516,65_73_41
36517,65_73_51
36518,65_73_55
36519,65_73_56
36520,65_73_61
36521,65_73_71
36522,65_73_72
36523,65_74_10
36524,65_74_13
36525,65_74_29
36526,65_74_34
36527,65_74_35
36528,65_74_39
36529,65_74_40
36530,65_74_42
36531,65_74_64
36532,65_74_66
36533,65_74_75
36534,65_74_77
36535,65_74_78
36536,65_74_80
36537,65_74_82
36538,65_75_06
36539,65_75_15
36540,65_75_47
36541,65_75_48
36542,65_75_50
36543,65_75_59
36544,65_75_67
36545,65_75_69
36546,65_75_72
36547,65_75_73
36548,65_75_92
36549,65_75_93
36550,65_76_19
36551,65_76_22
36552,65_76_27
36553,65_76_38
36554,65_76_45
36555,65_76_49
36556,65_76_50
36557,65_76_62
36558,65_77_07
36559,65_77_11
36560,65_77_19
36561,65_77_22
36562,65_77_26
36563,65_77_35
36564,65_77_39
36565,65_77_45
36566,65_77_51
36567,65_77_60
36568,65_77_63
36569,65_77_64
36570,65_77_68
36571,65_77_78
36572,65_78_10
36573,65_78_35
36574,65_78_38
36575,65_78_40
36576,65_78_42
36577,65_78_48
36578,65_78_50
36579,65_78_53
36580,65_78_66
36581,65_78_74
36582,65_78_81
36583,65_78_92
36584,65_79_06
36585,65_79_19
36586,65_79_24
36587,65_79_40
36588,65_79_42
36589,65_79_59
36590,65_79_72
36591,65_79_85
36592,65_79_87
36593,65_79_88
36594,65_80_10
36595,65_80_12
36596,65_80_13
36597,65_80_34
36598,65_80_53
36599,65_81_03
36600,65_81_14
36601,65_81_18
36602,65_81_25
36603,65_81_30
36604,65_81_38
36605,65_81_39
36606,65_81_40
36607,65_81_73
36608,65_81_89
36609,65_81_95
36610,65_82_09
36611,65_82_10
36612,65_82_19
36613,65_82_35
36614,65_82_45
36615,65_82_56
36616,65_82_59
36617,65_82_83
36618,65_82_96
36619,65_83_16
36620,65_83_27
36621,65_83_53
36622,65_83_67
36623,65_83_80
36624,65_83_83
36625,65_83_85
36626,65_83_89
36627,65_84_05
36628,65_84_15
36629,65_84_18
36630,65_84_27
36631,65_84_35
36632,65_84_43
36633,65_84_47
36634,65_84_58
36635,65_84_64
36636,65_84_71
36637,65_84_93
36638,65_85_02
36639,65_85_05
36640,65_85_09
36641,65_85_21
36642,65_85_23
36643,65_85_27
36644,65_85_43
36645,65_85_44
36646,65_85_57
36647,65_85_86
36648,65_85_87
36649,65_85_88
36650,65_85_91
36651,65_86_06
36652,65_86_14
36653,65_86_16
36654,65_86_19
36655,65_86_20
36656,65_86_23
36657,65_86_31
36658,65_86_35
36659,65_86_38
36660,65_86_43
36661,65_86_45
36662,65_86_51
36663,65_86_72
36664,65_86_77
36665,65_86_86
36666,65_86_94
36667,65_87_02
36668,65_87_08
36669,65_87_30
36670,65_87_35
36671,65_87_39
36672,65_87_40
36673,65_87_46
36674,65_87_52
36675,65_87_53
36676,65_87_61
36677,65_87_81
36678,65_87_85
36679,65_87_94
36680,65_87_95
36681,65_88_03
36682,65_88_10
36683,65_88_16
36684,65_88_18
36685,65_88_22
36686,65_88_35
36687,65_88_37
36688,65_88_39
36689,65_88_47
36690,65_88_54
36691,65_88_58
36692,65_88_65
36693,65_88_79
36694,65_88_85
36695,65_88_93
36696,65_88_95
36697,65_88_96
36698,65_89_01
36699,65_89_09
36700,65_89_19
36701,65_89_49
36702,65_89_55
36703,65_89_57
36704,65_89_59
36705,65_89_90
36706,65_89_91
36707,65_89_94
36708,65_90_06
36709,65_90_11
36710,65_90_12
36711,65_90_16
36712,65_90_26
36713,65_90_29
36714,65_90_35
36715,65_90_37
36716,65_90_52
36717,65_90_62
36718,65_90_72
36719,65_90_79
36720,65_90_82
36721,65_91_17
36722,65_91_20
36723,65_91_30
36724,65_91_64
36725,65_91_66
36726,65_91_72
36727,65_91_88
36728,65_92_36
36729,65_92_48
36730,65_92_54
36731,65_92_63
36732,65_93_10
36733,65_93_44
36734,65_93_54
36735,65_93_66
36736,66_01_23
36737,66_01_38
36738,66_01_42
36739,66_01_49
36740,66_01_53
36741,66_01_65
36742,66_01_69
36743,66_01_70
36744,66_01_76
36745,66_01_78
36746,66_01_79
36747,66_01_85
36748,66_01_87
36749,66_02_03
36750,66_02_17
36751,66_02_23
36752,66_02_25
36753,66_02_28
36754,66_02_33
36755,66_02_34
36756,66_02_44
36757,66_02_48
36758,66_02_68
36759,66_02_81
36760,66_02_91
36761,66_03_13
36762,66_03_21
36763,66_03_23
36764,66_03_37
36765,66_03_40
36766,66_03_57
36767,66_03_66
36768,66_03_69
36769,66_03_81
36770,66_03_88
36771,66_03_95
36772,66_04_11
36773,66_04_16
36774,66_04_23
36775,66_04_44
36776,66_04_57
36777,66_04_59
36778,66_04_63
36779,66_04_73
36780,66_04_76
36781,66_04_79
36782,66_04_81
36783,66_04_84
36784,66_04_85
36785,66_05_02
36786,66_05_03
36787,66_05_04
36788,66_05_08
36789,66_05_17
36790,66_05_20
36791,66_05_25
36792,66_05_27
36793,66_05_30
36794,66_05_33
36795,66_05_38
36796,66_05_41
36797,66_05_51
36798,66_05_62
36799,66_05_72
36800,66_05_76
36801,66_05_81
36802,66_05_83
36803,66_05_86
36804,66_05_87
36805,66_06_06
36806,66_06_08
36807,66_06_20
36808,66_06_22
36809,66_06_32
36810,66_06_35
36811,66_06_54
36812,66_06_58
36813,66_06_78
36814,66_06_82
36815,66_07_01
36816,66_07_11
36817,66_07_12
36818,66_07_26
36819,66_07_27
36820,66_07_39
36821,66_07_73
36822,66_07_86
36823,66_08_06
36824,66_08_08
36825,66_08_13
36826,66_08_16
36827,66_08_23
36828,66_08_30
36829,66_08_35
36830,66_08_38
36831,66_08_43
36832,66_08_63
36833,66_08_67
36834,66_08_68
36835,66_08_75
36836,66_08_83
36837,66_08_84
36838,66_09_02
36839,66_09_15
36840,66_09_17
36841,66_09_18
36842,66_09_59
36843,66_09_61
36844,66_09_62
36845,66_09_66
36846,66_09_67
36847,66_09_75
36848,66_09_82
36849,66_09_87
36850,66_10_04
36851,66_10_08
36852,66_10_22
36853,66_10_23
36854,66_10_30
36855,66_10_33
36856,66_10_34
36857,66_10_39
36858,66_10_43
36859,66_10_48
36860,66_10_58
36861,66_10_61
36862,66_10_65
36863,66_10_67
36864,66_10_94
36865,66_11_08
36866,66_11_15
36867,66_11_25
36868,66_11_27
36869,66_11_31
36870,66_11_37
36871,66_11_41
36872,66_11_42
36873,66_11_43
36874,66_11_52
36875,66_11_55
36876,66_11_69
36877,66_11_72
36878,66_11_79
36879,66_11_82
36880,66_11_85
36881,66_11_86
36882,66_11_91
36883,66_12_03
36884,66_12_07
36885,66_12_13
36886,66_12_23
36887,66_12_72
36888,66_12_79
36889,66_12_82
36890,66_12_84
36891,66_12_86
36892,66_13_11
36893,66_13_13
36894,66_13_16
36895,66_13_25
36896,66_13_29
36897,66_13_32
36898,66_13_34
36899,66_13_43
36900,66_13_61
36901,66_13_63
36902,66_13_65
36903,66_13_76
36904,66_13_82
36905,66_13_83
36906,66_13_85
36907,66_13_87
36908,66_13_92
36909,66_13_94
36910,66_14_09
36911,66_14_20
36912,66_14_22
36913,66_14_44
36914,66_14_73
36915,66_14_87
36916,66_14_94
36917,66_15_04
36918,66_15_19
36919,66_15_23
36920,66_15_30
36921,66_15_31
36922,66_15_51
36923,66_15_53
36924,66_15_54
36925,66_15_55
36926,66_15_59
36927,66_15_65
36928,66_15_66
36929,66_15_68
36930,66_15_91
36931,66_15_94
36932,66_16_08
36933,66_16_11
36934,66_16_24
36935,66_16_25
36936,66_16_30
36937,66_16_31
36938,66_16_51
36939,66_16_57
36940,66_16_69
36941,66_16_73
36942,66_16_75
36943,66_16_88
36944,66_16_94
36945,66_17_12
36946,66_17_21
36947,66_17_23
36948,66_17_26
36949,66_17_30
36950,66_17_37
36951,66_17_56
36952,66_17_74
36953,66_17_76
36954,66_17_84
36955,66_17_90
36956,66_18_01
36957,66_18_07
36958,66_18_10
36959,66_18_11
36960,66_18_24
36961,66_18_29
36962,66_18_43
36963,66_18_58
36964,66_18_59
36965,66_18_62
36966,66_18_72
36967,66_18_90
36968,66_19_03
36969,66_19_05
36970,66_19_25
36971,66_19_28
36972,66_19_35
36973,66_19_48
36974,66_19_49
36975,66_19_52
36976,66_19_58
36977,66_19_63
36978,66_19_70
36979,66_19_78
36980,66_19_81
36981,66_19_83
36982,66_19_87
36983,66_19_95
36984,66_20_01
36985,66_20_10
36986,66_20_11
36987,66_20_17
36988,66_20_24
36989,66_20_31
36990,66_20_36
36991,66_20_44
36992,66_20_46
36993,66_20_50
36994,66_20_54
36995,66_20_62
36996,66_20_63
36997,66_20_65
36998,66_20_75
36999,66_20_79
37000,66_20_83
37001,66_20_85
37002,66_20_86
37003,66_21_12
37004,66_21_17
37005,66_21_24
37006,66_21_37
37007,66_21_45
37008,66_21_53
37009,66_21_63
37010,66_21_87
37011,66_22_06
37012,66_22_09
37013,66_22_23
37014,66_22_29
37015,66_22_52
37016,66_22_68
37017,66_22_71
37018,66_22_74
37019,66_22_78
37020,66_22_83
37021,66_22_84
37022,66_22_90
37023,66_22_94
37024,66_23_08
37025,66_23_21
37026,66_23_25
37027,66_23_26
37028,66_23_39
37029,66_23_53
37030,66_23_59
37031,66_23_60
37032,66_23_65
37033,66_23_67
37034,66_23_69
37035,66_23_75
37036,66_23_82
37037,66_23_87
37038,66_23_89
37039,66_23_93
37040,66_23_95
37041,66_24_38
37042,66_24_39
37043,66_24_40
37044,66_24_43
37045,66_24_45
37046,66_24_55
37047,66_24_66
37048,66_24_68
37049,66_24_70
37050,66_24_72
37051,66_24_74
37052,66_24_78
37053,66_24_93
37054,66_24_95
37055,66_25_01
37056,66_25_42
37057,66_25_55
37058,66_25_56
37059,66_25_76
37060,66_25_79
37061,66_25_86
37062,66_25_90
37063,66_26_18
37064,66_26_26
37065,66_26_39
37066,66_26_56
37067,66_26_63
37068,66_26_69
37069,66_26_71
37070,66_26_79
37071,66_26_84
37072,66_26_88
37073,66_27_09
37074,66_27_15
37075,66_27_20
37076,66_27_33
37077,66_27_35
37078,66_27_46
37079,66_27_59
37080,66_27_64
37081,66_27_65
37082,66_27_67
37083,66_27_71
37084,66_27_88
37085,66_27_89
37086,66_28_16
37087,66_28_25
37088,66_28_30
37089,66_28_35
37090,66_28_37
37091,66_28_38
37092,66_28_62
37093,66_28_73
37094,66_28_78
37095,66_28_79
37096,66_28_85
37097,66_28_88
37098,66_28_93
37099,66_29_02
37100,66_29_17
37101,66_29_29
37102,66_29_40
37103,66_29_55
37104,66_29_63
37105,66_29_92
37106,66_29_96
37107,66_30_34
37108,66_30_55
37109,66_30_59
37110,66_30_63
37111,66_30_68
37112,66_30_85
37113,66_31_02
37114,66_31_14
37115,66_31_22
37116,66_31_29
37117,66_31_30
37118,66_31_34
37119,66_31_40
37120,66_31_44
37121,66_31_47
37122,66_31_51
37123,66_31_52
37124,66_31_65
37125,66_31_71
37126,66_31_74
37127,66_31_95
37128,66_32_03
37129,66_32_21
37130,66_32_33
37131,66_32_34
37132,66_32_35
37133,66_32_36
37134,66_32_41
37135,66_32_47
37136,66_32_52
37137,66_32_60
37138,66_32_67
37139,66_32_68
37140,66_32_70
37141,66_32_87
37142,66_32_88
37143,66_33_03
37144,66_33_17
37145,66_33_21
37146,66_33_38
37147,66_33_42
37148,66_33_43
37149,66_33_45
37150,66_33_47
37151,66_33_57
37152,66_33_60
37153,66_33_64
37154,66_33_74
37155,66_33_75
37156,66_33_81
37157,66_33_83
37158,66_33_84
37159,66_33_85
37160,66_33_89
37161,66_33_96
37162,66_34_11
37163,66_34_17
37164,66_34_21
37165,66_34_31
37166,66_34_36
37167,66_34_44
37168,66_34_47
37169,66_34_49
37170,66_34_54
37171,66_34_60
37172,66_34_66
37173,66_34_75
37174,66_34_81
37175,66_34_85
37176,66_34_90
37177,66_34_91
37178,66_35_05
37179,66_35_29
37180,66_35_47
37181,66_35_49
37182,66_35_50
37183,66_35_61
37184,66_35_73
37185,66_35_77
37186,66_35_81
37187,66_35_82
37188,66_35_83
37189,66_36_04
37190,66_36_09
37191,66_36_12
37192,66_36_14
37193,66_36_27
37194,66_36_30
37195,66_36_40
37196,66_36_44
37197,66_36_45
37198,66_36_58
37199,66_36_63
37200,66_36_67
37201,66_36_70
37202,66_36_71
37203,66_36_77
37204,66_36_80
37205,66_36_86
37206,66_36_90
37207,66_37_06
37208,66_37_08
37209,66_37_11
37210,66_37_22
37211,66_37_48
37212,66_37_57
37213,66_37_67
37214,66_37_74
37215,66_38_04
37216,66_38_21
37217,66_38_33
37218,66_38_35
37219,66_38_37
37220,66_38_47
37221,66_38_56
37222,66_38_57
37223,66_38_68
37224,66_38_71
37225,66_38_72
37226,66_38_81
37227,66_38_82
37228,66_38_93
37229,66_38_95
37230,66_39_01
37231,66_39_02
37232,66_39_08
37233,66_39_20
37234,66_39_22
37235,66_39_23
37236,66_39_25
37237,66_39_31
37238,66_39_36
37239,66_39_49
37240,66_39_50
37241,66_39_52
37242,66_39_54
37243,66_39_59
37244,66_39_65
37245,66_39_70
37246,66_39_73
37247,66_39_89
37248,66_39_91
37249,66_39_94
37250,66_40_14
37251,66_40_23
37252,66_40_24
37253,66_40_33
37254,66_40_45
37255,66_40_73
37256,66_40_83
37257,66_40_89
37258,66_41_08
37259,66_41_18
37260,66_41_25
37261,66_41_48
37262,66_41_51
37263,66_41_54
37264,66_41_55
37265,66_41_61
37266,66_41_72
37267,66_41_75
37268,66_41_79
37269,66_41_81
37270,66_41_84
37271,66_41_86
37272,66_42_06
37273,66_42_10
37274,66_42_16
37275,66_42_17
37276,66_42_34
37277,66_42_38
37278,66_42_59
37279,66_42_60
37280,66_42_69
37281,66_42_84
37282,66_42_87
37283,66_43_04
37284,66_43_08
37285,66_43_20
37286,66_43_40
37287,66_43_42
37288,66_43_55
37289,66_43_56
37290,66_43_61
37291,66_43_73
37292,66_43_82
37293,66_43_92
37294,66_44_07
37295,66_44_17
37296,66_44_21
37297,66_44_30
37298,66_44_37
37299,66_44_57
37300,66_44_59
37301,66_44_62
37302,66_44_64
37303,66_44_67
37304,66_44_68
37305,66_44_95
37306,66_45_01
37307,66_45_08
37308,66_45_18
37309,66_45_20
37310,66_45_29
37311,66_45_31
37312,66_45_34
37313,66_45_40
37314,66_45_44
37315,66_45_45
37316,66_45_52
37317,66_45_53
37318,66_45_55
37319,66_45_58
37320,66_45_65
37321,66_45_68
37322,66_45_71
37323,66_45_79
37324,66_45_82
37325,66_46_02
37326,66_46_05
37327,66_46_17
37328,66_46_19
37329,66_46_20
37330,66_46_29
37331,66_46_30
37332,66_46_46
37333,66_46_53
37334,66_46_54
37335,66_46_60
37336,66_46_61
37337,66_46_70
37338,66_46_75
37339,66_46_77
37340,66_46_82
37341,66_46_83
37342,66_46_91
37343,66_46_94
37344,66_47_03
37345,66_47_21
37346,66_47_35
37347,66_47_45
37348,66_47_52
37349,66_47_56
37350,66_47_70
37351,66_47_89
37352,66_48_03
37353,66_48_14
37354,66_48_18
37355,66_48_25
37356,66_48_45
37357,66_48_56
37358,66_48_68
37359,66_48_70
37360,66_48_75
37361,66_48_77
37362,66_48_90
37363,66_49_07
37364,66_49_09
37365,66_49_28
37366,66_49_43
37367,66_49_44
37368,66_49_92
37369,66_50_03
37370,66_50_15
37371,66_50_16
37372,66_50_27
37373,66_50_31
37374,66_50_34
37375,66_50_55
37376,66_50_70
37377,66_50_77
37378,66_50_90
37379,66_50_92
37380,66_50_94
37381,66_51_04
37382,66_51_12
37383,66_51_22
37384,66_51_24
37385,66_51_33
37386,66_51_35
37387,66_51_48
37388,66_51_49
37389,66_51_50
37390,66_51_51
37391,66_51_52
37392,66_51_75
37393,66_51_76
37394,66_51_81
37395,66_51_96
37396,66_52_05
37397,66_52_06
37398,66_52_26
37399,66_52_28
37400,66_52_36
37401,66_52_44
37402,66_52_47
37403,66_52_52
37404,66_52_55
37405,66_52_56
37406,66_52_58
37407,66_52_78
37408,66_52_80
37409,66_52_83
37410,66_52_88
37411,66_52_93
37412,66_53_04
37413,66_53_05
37414,66_53_10
37415,66_53_16
37416,66_53_26
37417,66_53_40
37418,66_53_41
37419,66_53_51
37420,66_53_54
37421,66_53_63
37422,66_53_78
37423,66_53_90
37424,66_54_12
37425,66_54_32
37426,66_54_39
37427,66_54_45
37428,66_54_46
37429,66_54_53
37430,66_54_55
37431,66_54_56
37432,66_54_61
37433,66_54_64
37434,66_54_65
37435,66_54_69
37436,66_54_74
37437,66_54_81
37438,66_54_82
37439,66_54_88
37440,66_54_90
37441,66_54_92
37442,66_54_96
37443,66_55_02
37444,66_55_08
37445,66_55_28
37446,66_55_38
37447,66_55_47
37448,66_55_57
37449,66_55_76
37450,66_55_81
37451,66_56_09
37452,66_56_12
37453,66_56_22
37454,66_56_23
37455,66_56_27
37456,66_56_31
37457,66_56_34
37458,66_56_39
37459,66_56_40
37460,66_56_46
37461,66_56_47
37462,66_56_51
37463,66_56_65
37464,66_56_74
37465,66_56_91
37466,66_57_05
37467,66_57_17
37468,66_57_26
37469,66_57_37
37470,66_57_38
37471,66_57_39
37472,66_57_65
37473,66_57_68
37474,66_57_69
37475,66_57_89
37476,66_57_91
37477,66_57_93
37478,66_58_07
37479,66_58_12
37480,66_58_22
37481,66_58_26
37482,66_58_28
37483,66_58_31
37484,66_58_44
37485,66_58_46
37486,66_58_60
37487,66_58_61
37488,66_58_69
37489,66_58_78
37490,66_58_81
37491,66_58_82
37492,66_58_87
37493,66_59_11
37494,66_59_12
37495,66_59_13
37496,66_59_20
37497,66_59_27
37498,66_59_28
37499,66_59_52
37500,66_59_53
37501,66_59_60
37502,66_59_61
37503,66_59_79
37504,66_59_82
37505,66_59_89
37506,66_59_90
37507,66_59_92
37508,66_60_04
37509,66_60_06
37510,66_60_20
37511,66_60_33
37512,66_60_35
37513,66_60_36
37514,66_60_39
37515,66_60_40
37516,66_60_41
37517,66_60_46
37518,66_60_57
37519,66_60_63
37520,66_60_66
37521,66_60_68
37522,66_60_72
37523,66_60_91
37524,66_61_07
37525,66_61_15
37526,66_61_21
37527,66_61_38
37528,66_61_50
37529,66_61_61
37530,66_61_62
37531,66_61_64
37532,66_61_66
37533,66_61_74
37534,66_62_01
37535,66_62_09
37536,66_62_14
37537,66_62_15
37538,66_62_20
37539,66_62_28
37540,66_62_48
37541,66_62_62
37542,66_62_64
37543,66_62_68
37544,66_62_77
37545,66_62_85
37546,66_63_10
37547,66_63_11
37548,66_63_14
37549,66_63_15
37550,66_63_28
37551,66_63_29
37552,66_63_31
37553,66_63_60
37554,66_63_83
37555,66_64_18
37556,66_64_19
37557,66_64_29
37558,66_64_34
37559,66_64_43
37560,66_64_50
37561,66_64_52
37562,66_64_56
37563,66_64_66
37564,66_64_67
37565,66_64_72
37566,66_64_75
37567,66_64_79
37568,66_64_80
37569,66_65_15
37570,66_65_16
37571,66_65_18
37572,66_65_25
37573,66_65_26
37574,66_65_29
37575,66_65_33
37576,66_65_38
37577,66_65_39
37578,66_65_40
37579,66_65_51
37580,66_65_53
37581,66_65_59
37582,66_65_64
37583,66_65_66
37584,66_65_87
37585,66_65_93
37586,66_66_04
37587,66_66_16
37588,66_66_34
37589,66_66_41
37590,66_66_60
37591,66_66_63
37592,66_66_69
37593,66_66_70
37594,66_66_79
37595,66_66_85
37596,66_66_92
37597,66_67_02
37598,66_67_08
37599,66_67_11
37600,66_67_12
37601,66_67_17
37602,66_67_21
37603,66_67_22
37604,66_67_23
37605,66_67_25
37606,66_67_35
37607,66_67_78
37608,66_67_80
37609,66_67_86
37610,66_67_88
37611,66_68_03
37612,66_68_07
37613,66_68_10
37614,66_68_36
37615,66_68_83
37616,66_69_01
37617,66_69_08
37618,66_69_16
37619,66_69_24
37620,66_69_29
37621,66_69_35
37622,66_69_38
37623,66_69_39
37624,66_69_43
37625,66_69_58
37626,66_69_63
37627,66_69_70
37628,66_69_88
37629,66_69_94
37630,66_70_06
37631,66_70_07
37632,66_70_18
37633,66_70_22
37634,66_70_25
37635,66_70_27
37636,66_70_28
37637,66_70_34
37638,66_70_43
37639,66_70_50
37640,66_70_52
37641,66_70_56
37642,66_70_63
37643,66_70_67
37644,66_70_68
37645,66_70_73
37646,66_70_74
37647,66_70_84
37648,66_70_88
37649,66_71_14
37650,66_71_32
37651,66_71_33
37652,66_71_34
37653,66_71_56
37654,66_71_60
37655,66_71_62
37656,66_71_67
37657,66_71_94
37658,66_71_95
37659,66_72_06
37660,66_72_30
37661,66_72_38
37662,66_72_39
37663,66_72_41
37664,66_72_42
37665,66_72_46
37666,66_72_58
37667,66_72_65
37668,66_72_73
37669,66_72_74
37670,66_72_80
37671,66_72_89
37672,66_72_93
37673,66_72_95
37674,66_73_04
37675,66_73_14
37676,66_73_33
37677,66_73_37
37678,66_73_41
37679,66_73_51
37680,66_73_60
37681,66_73_67
37682,66_73_76
37683,66_73_80
37684,66_73_82
37685,66_73_90
37686,66_73_94
37687,66_74_01
37688,66_74_05
37689,66_74_06
37690,66_74_17
37691,66_74_19
37692,66_74_32
37693,66_74_39
37694,66_74_86
37695,66_74_87
37696,66_74_91
37697,66_74_92
37698,66_74_95
37699,66_74_96
37700,66_75_02
37701,66_75_18
37702,66_75_30
37703,66_75_31
37704,66_75_45
37705,66_75_50
37706,66_75_55
37707,66_75_67
37708,66_75_89
37709,66_76_20
37710,66_76_23
37711,66_76_29
37712,66_76_44
37713,66_76_59
37714,66_76_65
37715,66_76_72
37716,66_76_76
37717,66_76_80
37718,66_76_85
37719,66_76_87
37720,66_77_02
37721,66_77_15
37722,66_77_17
37723,66_77_23
37724,66_77_25
37725,66_77_31
37726,66_77_41
37727,66_77_44
37728,66_77_48
37729,66_77_57
37730,66_77_61
37731,66_77_81
37732,66_77_83
37733,66_77_86
37734,66_77_87
37735,66_77_96
37736,66_78_04
37737,66_78_07
37738,66_78_08
37739,66_78_13
37740,66_78_27
37741,66_78_31
37742,66_78_45
37743,66_78_53
37744,66_78_60
37745,66_78_64
37746,66_78_65
37747,66_78_82
37748,66_78_91
37749,66_78_95
37750,66_79_02
37751,66_79_05
37752,66_79_06
37753,66_79_16
37754,66_79_23
37755,66_79_30
37756,66_79_31
37757,66_79_38
37758,66_79_39
37759,66_79_46
37760,66_79_47
37761,66_79_53
37762,66_79_56
37763,66_79_74
37764,66_79_77
37765,66_79_86
37766,66_80_01
37767,66_80_02
37768,66_80_17
37769,66_80_18
37770,66_80_25
37771,66_80_26
37772,66_80_36
37773,66_80_38
37774,66_80_46
37775,66_80_53
37776,66_80_70
37777,66_80_75
37778,66_80_81
37779,66_80_86
37780,66_81_02
37781,66_81_04
37782,66_81_07
37783,66_81_12
37784,66_81_15
37785,66_81_28
37786,66_81_32
37787,66_81_38
37788,66_81_45
37789,66_81_68
37790,66_81_96
37791,66_82_05
37792,66_82_10
37793,66_82_18
37794,66_82_29
37795,66_82_42
37796,66_82_44
37797,66_82_46
37798,66_82_49
37799,66_82_55
37800,66_82_76
37801,66_83_08
37802,66_83_10
37803,66_83_11
37804,66_83_34
37805,66_83_61
37806,66_83_74
37807,66_83_88
37808,66_84_02
37809,66_84_04
37810,66_84_13
37811,66_84_18
37812,66_84_23
37813,66_84_27
37814,66_84_30
37815,66_84_39
37816,66_84_44
37817,66_84_47
37818,66_84_48
37819,66_84_49
37820,66_84_50
37821,66_84_66
37822,66_84_71
37823,66_84_78
37824,66_84_79
37825,66_84_90
37826,66_84_93
37827,66_85_05
37828,66_85_07
37829,66_85_08
37830,66_85_13
37831,66_85_14
37832,66_85_17
37833,66_85_23
37834,66_85_25
37835,66_85_31
37836,66_85_38
37837,66_85_41
37838,66_85_42
37839,66_85_60
37840,66_85_76
37841,66_85_85
37842,66_85_86
37843,66_85_93
37844,66_86_04
37845,66_86_16
37846,66_86_19
37847,66_86_20
37848,66_86_26
37849,66_86_37
37850,66_86_43
37851,66_86_45
37852,66_86_46
37853,66_86_47
37854,66_86_55
37855,66_86_57
37856,66_86_58
37857,66_86_59
37858,66_86_64
37859,66_86_67
37860,66_86_72
37861,66_86_83
37862,66_86_85
37863,66_86_89
37864,66_87_07
37865,66_87_09
37866,66_87_10
37867,66_87_13
37868,66_87_22
37869,66_87_26
37870,66_87_27
37871,66_87_35
37872,66_87_41
37873,66_87_46
37874,66_87_47
37875,66_87_48
37876,66_87_52
37877,66_87_55
37878,66_87_57
37879,66_87_64
37880,66_87_68
37881,66_87_69
37882,66_87_75
37883,66_87_81
37884,66_87_86
37885,66_87_88
37886,66_87_90
37887,66_88_01
37888,66_88_03
37889,66_88_07
37890,66_88_13
37891,66_88_15
37892,66_88_20
37893,66_88_22
37894,66_88_25
37895,66_88_27
37896,66_88_30
37897,66_88_34
37898,66_88_40
37899,66_88_41
37900,66_88_45
37901,66_88_46
37902,66_88_50
37903,66_88_53
37904,66_88_65
37905,66_88_68
37906,66_88_91
37907,66_88_95
37908,66_88_96
37909,66_89_02
37910,66_89_17
37911,66_89_21
37912,66_89_23
37913,66_89_40
37914,66_89_41
37915,66_89_45
37916,66_89_54
37917,66_89_57
37918,66_89_88
37919,66_89_89
37920,66_89_93
37921,66_90_09
37922,66_90_10
37923,66_90_15
37924,66_90_21
37925,66_90_32
37926,66_90_39
37927,66_90_45
37928,66_90_57
37929,66_90_59
37930,66_90_76
37931,66_90_87
37932,66_90_90
37933,66_90_92
37934,66_91_04
37935,66_91_06
37936,66_91_11
37937,66_91_16
37938,66_91_23
37939,66_91_29
37940,66_91_30
